IPO Name,Sector,Open Date,Close Date,Listing Date,Price Band Low (Rs),Price Band High (Rs),Lot Size (Shares),Lot Value (Rs),Issue Size (Rs Cr),RII Sub (x),QIB Sub (x),NII Sub (x),Overall Sub (x),GMP (Rs),Est Listing Gain (%),Debt to Equity,ROE (%),Revenue Growth (%),Listing Price (Rs),Actual Listing Gain (%),Source,Last Updated,Detail URL
Manika Plastech,,2026-09-10 00:00:00,2026-09-15 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/manika-plastech-ipo/2483/
Veegaland Developers,,2026-09-09 00:00:00,2026-09-14 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/veegaland-developers-ipo/2834/
Rentomojo,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/rentomojo-ipo/2971/
Asset Reconstruction Co.(India),,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/asset-reconstruction-ipo/2558/
Manipal Payment & Identity Solutions (Manipal Cards),,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/manipal-payment-and-identity-solutions-ipo/2524/
Steamhouse India,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/steamhouse-india-ipo/2514/
LCC Projects,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/lcc-projects-ipo/2086/
Karamtara Engineering,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/karamtara-engineering-ipo/2020/
Injecto Polymers,,2026-09-10 00:00:00,2026-09-15 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Century Business Media,,2026-09-10 00:00:00,2026-09-15 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Maharaja & Speedex India,,2026-09-09 00:00:00,2026-09-14 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Om Galaxy,,2026-09-09 00:00:00,2026-09-14 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Raksan Transformers,,2026-09-09 00:00:00,2026-09-14 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Panchatv Bharat,,2026-09-09 00:00:00,2026-09-14 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Infrax Renewable,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Vinod Texworld,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Amtech Esters,,2026-09-08 00:00:00,2026-09-10 00:00:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,
Kanohar Electricals,,2026-09-07 18:30:00,2026-09-09 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:39.045000,https://www.chittorgarh.com/ipo/kanohar-electricals-ipo/2856/
