Date,IPO Name,GMP (Rs),Price Band High (Rs),Kostak (Rs),Notes
2026-09-17 12:30:12.956000,National Stock Exchange of India,26,,,
2026-09-17 12:30:14.538000,Sonaselection India,1,,,
2026-09-17 12:30:16.350000,SS Retail,26,,,
2026-09-17 12:30:17.658000,Jindal Supreme (India),1,,,
2026-09-17 12:30:19.225000,Hero Motors,1,,,
2026-09-17 12:30:20.598000,SpectraA Technology Solutions,23,,,
2026-09-17 12:30:22.148000,Kheria Autocomp,1,,,
2026-09-17 12:30:23.782000,Vama Wovenfab,1,,,
2026-09-17 12:30:26.122000,Shakti Polytarp,1,,,
2026-09-17 12:30:27.503000,Quanto Agroworld,1,,,
