IPO Name,Sector,Open Date,Close Date,Listing Date,Price Band Low (Rs),Price Band High (Rs),Lot Size (Shares),Lot Value (Rs),Issue Size (Rs Cr),RII Sub (x),QIB Sub (x),NII Sub (x),Overall Sub (x),GMP (Rs),Est Listing Gain (%),Debt to Equity,ROE (%),Revenue Growth (%),Listing Price (Rs),Actual Listing Gain (%),Source,Last Updated,Detail URL
Deepa Jewellers,B2B Gold Jewellery Design & Supply,,,2026-09-08 00:00:00,177,177,,,459.72,,,,43.4,,,,,,221,24.9,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Rays of Belief,Healthcare Services (NDD Intervention),,,2026-09-08 00:00:00,239,239,,,125,,,,107.71,,,,,,239,0,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Farm Peace,Agro - Plantation,,,2026-09-08 00:00:00,59,59,,,32,,,,1.21,,,,,,112.1,90,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Fly-Hi Maritime Travels,Travel & Tourism - Maritime Crew Travel Services,,,2026-09-08 00:00:00,102,102,,,52.63,,,,2.18,,,,,,81.6,-20,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Purple Style Labs,Luxury Fashion E-commerce (Multi-Brand Designer Wear),,,2026-09-07 00:00:00,575,575,,,680,,,,1.36,,,,,,539.02,-6.3,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Phychem Technologies,Plastic & Polymer - Roto Moulding Compounds,,,2026-09-07 00:00:00,54,54,,,14.58,,,,20.87,,,,,,56,3.7,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Ashutosh Fibre,Technical & Synthetic Yarns - Textiles,,,2026-09-07 00:00:00,92,92,,,56.35,,,,133.82,,,,,,140,52.2,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Shanti Inorganics,Chemicals - Sulphur Based Inorganic Chemicals,,,2026-09-07 00:00:00,83,83,,,47.24,,,,142.25,,,,,,157.7,90,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Priority Jewels,Diamond-Studded Fine Jewellery (Manufacturing),,,2026-09-04 00:00:00,200,200,,,91.5,,,,100.45,,,,,,225.2,12.6,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
ESDS Software Solution,Cloud Computing & Data Centre Infrastructure (AI/IaaS/SaaS),,,2026-09-04 00:00:00,429,429,,,720,,,,142.88,,,,,,746.3,74,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Complete Sports And Management,Entertainment & Leisure Equipment,,,2026-09-04 00:00:00,135,135,,,74.93,,,,3.53,,,,,,139,3,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Paluck Technologies,Engineering Services & Infrastructure Support,,,2026-09-04 00:00:00,48,48,,,33,,,,252.7,,,,,,46.8,-2.5,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Lumino Industries,Power Transmission & Distribution (Conductors/Cables/EPC),,,2026-09-03 00:00:00,82,82,,,700,,,,52.91,,,,,,109,32.9,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Kwick Forensic Solutions,Forensic Science & Digital Evidence Solutions,,,2026-09-03 00:00:00,90,90,,,50.77,,,,287.23,,,,,,150,66.7,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Annu Projects,EPC Infrastructure (Telecom/Sewerage/Gas Pipeline),,,2026-09-02 00:00:00,99,99,,,175.06,,,,2.93,,,,,,75.6,-23.6,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Sumax Engineering,Auto Components - Automotive Solutions,,,2026-09-02 00:00:00,101,101,,,53.4,,,,162.96,,,,,,111,9.9,IPOGyani/ipostation,2026-09-17 00:00:00,2026-09-17 00:00:00
Skyways Air Services,Integrated Logistics & Freight Forwarding (Air Cargo),,,2026-09-01 00:00:00,138,138,,,582.8,,,,71.25,,,,,,124,-10.1,IPOGyani/ipostation,2026-09-17 00:00:00,
Hy-Tech Engineers,Hydraulic Fittings Manufacturing (Industrial Engineering),,,2026-09-01 00:00:00,53,53,,,135.73,,,,247.39,,,,,,72,35.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Symbiotec Pharmalab,Pharmaceutical APIs & Complex Injectables (Specialty Pharma),,,2026-09-01 00:00:00,988,988,,,1757,,,,75.06,,,,,,988,0,IPOGyani/ipostation,2026-09-17 00:00:00,
ABH Healthcare,Healthcare - Hospitals,,,2026-09-01 00:00:00,102,102,,,34.98,,,,1.49,,,,,,99,-2.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Madhur Knit Crafts,Textile - Blankets & Knitted Fabrics,,,2026-09-01 00:00:00,100,100,,,53.28,,,,0.71,,,,,,100,0,IPOGyani/ipostation,2026-09-17 00:00:00,
Augmont Enterprises,Integrated Gold & Silver Platform (Bullion/Digital Gold),,,2026-08-31 00:00:00,788,788,,,825,,,,111.14,,,,,,956,21.3,IPOGyani/ipostation,2026-09-17 00:00:00,
Tempsens Instruments (India),Industrial Temperature Sensing & Electrical Heating Solutions,,,2026-08-28 00:00:00,300,300,,,650,,,,184.07,,,,,,631.2,110.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Gaja Alternative Asset Management,Alternative Asset Management (AIF/PE Fund Manager),,,2026-08-26 00:00:00,160,160,,,550,,,,32.98,,,,,,185.2,15.8,IPOGyani/ipostation,2026-09-17 00:00:00,
Dhanwel Hybrid Seeds,Agriculture - Seeds,,,2026-08-26 00:00:00,99,99,,,26.73,,,,1.71,,,,,,99,0,IPOGyani/ipostation,2026-09-17 00:00:00,
Pranav Constructions,EPC Construction & Infrastructure,,,2026-09-15 00:00:00,121,121,,,,,,,,,,,,,162,40.3,IPOGyani/ipostation,2026-09-17 00:00:00,
Kanohar Electricals,Electrical Equipment,,,2026-09-17 00:00:00,,,,,,,,,,,,,,,,,Chittorgarh (listed 17/09),2026-09-17 00:00:00,
Prasol Chemicals,Specialty Chemicals,,,2026-09-17 00:00:00,,,,,,,,,,,,,,,,,Chittorgarh (listed 17/09),2026-09-17 00:00:00,
