IPO Name,Sector,Open Date,Close Date,Listing Date,Price Band Low (Rs),Price Band High (Rs),Lot Size (Shares),Lot Value (Rs),Issue Size (Rs Cr),RII Sub (x),QIB Sub (x),NII Sub (x),Overall Sub (x),GMP (Rs),Est Listing Gain (%),Debt to Equity,ROE (%),Revenue Growth (%),Listing Price (Rs),Actual Listing Gain (%),Source,Last Updated,Detail URL
National Stock Exchange of India,,2026-09-16 00:00:00,2026-09-20 00:00:00,,,,,,,,,,,26,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/nse-ipo/3151/
Sonaselection India,,2026-09-16 00:00:00,2026-09-20 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/sonaselection-india-ipo/2805/
SS Retail,,2026-09-15 00:00:00,2026-09-17 00:00:00,,,,,,,,,,,26,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/ss-retail-ipo/2822/
Jindal Supreme (India),,2026-09-15 00:00:00,2026-09-17 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/jindal-supreme-ipo/2803/
Hero Motors,,2026-09-15 00:00:00,2026-09-17 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/hero-motors-ipo/2225/
SpectraA Technology Solutions,,2026-09-16 00:00:00,2026-09-20 00:00:00,,,,,,,,,,,23,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/spectraa-technology-solutions-ipo/2950/
Kheria Autocomp,,2026-09-16 00:00:00,2026-09-20 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/kheria-autocomp-ipo/2760/
Vama Wovenfab,,2026-09-14 00:00:00,2026-09-16 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/vama-wovenfab-ipo/2709/
Shakti Polytarp,,2026-09-14 00:00:00,2026-09-16 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/shakti-polytarp-ipo/2427/
Quanto Agroworld,,2026-09-14 00:00:00,2026-09-16 00:00:00,,,,,,,,,,,1,,,,,,,Chittorgarh (Mainboard),2026-09-17 00:00:00,https://www.chittorgarh.com/ipo/quanto-agroworld-ipo/2390/
National Stock Exchange of India,,2026-09-16 18:30:00,2026-09-20 18:30:00,,,,,,,,,,,26,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:37:33.396000,https://www.chittorgarh.com/ipo/nse-ipo/3151/
