IPO Name,Sector,Open Date,Close Date,Listing Date,Price Band Low (Rs),Price Band High (Rs),Lot Size (Shares),Lot Value (Rs),Issue Size (Rs Cr),RII Sub (x),QIB Sub (x),NII Sub (x),Overall Sub (x),GMP (Rs),Est Listing Gain (%),Debt to Equity,ROE (%),Revenue Growth (%),Listing Price (Rs),Actual Listing Gain (%),Source,Last Updated,Detail URL
A-One Steels India,,2026-09-23 18:30:00,2026-09-27 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:25.557000,https://www.chittorgarh.com/ipo/a-one-steels-ipo/2000/
ArMee Infotech,,2026-09-22 18:30:00,2026-09-24 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:25.569000,https://www.chittorgarh.com/ipo/armee-infotech-ipo/2140/
Varmora Granito,,2026-09-21 18:30:00,2026-09-23 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:25.881000,https://www.chittorgarh.com/ipo/varmora-granito-ipo/2563/
S.K Offset,,2026-09-22 18:30:00,2026-09-24 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:31.483000,https://www.chittorgarh.com/ipo/skoffset-ipo/3150/
Liqvd Digital India,,2026-09-22 18:30:00,2026-09-24 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:31.757000,https://www.chittorgarh.com/ipo/liqvd-digital-ipo/2750/
Sai Urja Indo Ventures,,2026-09-22 18:30:00,2026-09-24 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:32.060000,https://www.chittorgarh.com/ipo/sai-urja-indo-ipo/2655/
Anand Seamless,,2026-09-21 18:30:00,2026-09-23 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:32.393000,https://www.chittorgarh.com/ipo/anand-seamless-ipo/3080/
Himalaya Nutravedics India,,2026-09-21 18:30:00,2026-09-23 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:32.717000,https://www.chittorgarh.com/ipo/himalaya-nutravedics-ipo/2970/
Robokidz Eduventures,,2026-09-20 18:30:00,2026-09-22 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:32.991000,https://www.chittorgarh.com/ipo/robokidz-eduventures-ipo/3205/
FX Multitech,,2026-09-20 18:30:00,2026-09-22 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:33.264000,https://www.chittorgarh.com/ipo/fx-multitech-ipo/2849/
Vivekanand Cotspin,,2026-09-20 18:30:00,2026-09-22 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:33.565000,https://www.chittorgarh.com/ipo/vivekanand-cotspin-ipo/2062/
Axiom Gas Engineering,,2026-09-17 18:30:00,2026-09-21 18:30:00,,,,,,,,,,,,,,,,,,Chittorgarh (Mainboard),2026-09-17 12:36:33.825000,https://www.chittorgarh.com/ipo/axiom-gas-engineering-ipo/2193/
